product_id,family,collection,variant_size,margin_pct,price_cents,cost_basis_currency,base_eu_costbasis,base_uk_costbasis,base_us_costbasis_converted,base_au_costbasis_converted,revenue_costbasis,eu_margin_costbasis,us_margin_costbasis,au_margin_costbasis,us_eu_ratio,uk_diverges_from_eu,status_us
book-atmospheric-hardcover-83sq,hpb,the-atmospheric-collection,83sq,100,2500,EUR,12.5,12.11,11.1,,25.0,12.5,13.9,,0.888,yes,OK
book-atmospheric-hardcover-a5l,hpb,the-atmospheric-collection,a5l,100,1900,GBP,9.5,9.5,8.14,,19.0,9.5,10.86,,0.857,no,OK
book-atmospheric-hardcover-a4l,hpb,the-atmospheric-collection,a4l,100,2100,GBP,10.5,10.5,9.62,,21.0,10.5,11.38,,0.916,no,OK
book-atmospheric-hardcover-a5p,hpb,the-atmospheric-collection,a5p,100,2100,EUR,10.5,10.96,9.39,,21.0,10.5,11.61,,0.894,yes,OK
book-atmospheric-hardcover-a4p,hpb,the-atmospheric-collection,a4p,100,2500,EUR,12.5,12.11,11.1,,25.0,12.5,13.9,,0.888,yes,OK
book-atmospheric-softcover-a5p,spb,the-atmospheric-collection,a5p,90,1615,EUR,8.5,9.23,7.68,,16.15,7.649999999999999,8.469999999999999,,0.904,yes,OK
book-atmospheric-softcover-a4p,spb,the-atmospheric-collection,a4p,90,1805,EUR,9.5,9.8,8.54,,18.05,8.55,9.510000000000002,,0.899,yes,OK
book-halcyon-hardcover-83sq,hpb,the-halcyon-collection,83sq,100,2500,EUR,12.5,12.11,11.1,,25.0,12.5,13.9,,0.888,yes,OK
book-halcyon-hardcover-a5l,hpb,the-halcyon-collection,a5l,100,1900,GBP,9.5,9.5,8.14,,19.0,9.5,10.86,,0.857,no,OK
book-halcyon-hardcover-a4l,hpb,the-halcyon-collection,a4l,100,2100,GBP,10.5,10.5,9.62,,21.0,10.5,11.38,,0.916,no,OK
book-halcyon-hardcover-a5p,hpb,the-halcyon-collection,a5p,100,2100,EUR,10.5,10.96,9.39,,21.0,10.5,11.61,,0.894,yes,OK
book-halcyon-hardcover-a4p,hpb,the-halcyon-collection,a4p,100,2500,EUR,12.5,12.11,11.1,,25.0,12.5,13.9,,0.888,yes,OK
book-halcyon-softcover-a5p,spb,the-halcyon-collection,a5p,90,1615,EUR,8.5,9.23,7.68,,16.15,7.649999999999999,8.469999999999999,,0.904,yes,OK
book-halcyon-softcover-a4p,spb,the-halcyon-collection,a4p,90,1805,EUR,9.5,9.8,8.54,,18.05,8.55,9.510000000000002,,0.899,yes,OK
book-mono-hardcover-83sq,hpb,monochrome-moods,83sq,100,2500,EUR,12.5,12.11,11.1,,25.0,12.5,13.9,,0.888,yes,OK
