product_id,family,collection,variant_size,margin_pct,price_cents,base_eu_eur,base_us_usd,revenue_usd_at_fx,us_cost_usd,gross_margin_usd,status
book-atmospheric-hardcover-83sq,hpb,the-atmospheric-collection,83sq,100,2500,12.5,13,29.2875,13,16.2875,OK
book-atmospheric-hardcover-a5l,hpb,the-atmospheric-collection,a5l,100,1900,9.5,11,22.2585,11,11.2585,OK
book-atmospheric-hardcover-a4l,hpb,the-atmospheric-collection,a4l,100,2100,10.5,13,24.6015,13,11.6015,OK
book-atmospheric-hardcover-a5p,hpb,the-atmospheric-collection,a5p,100,2100,10.5,11,24.6015,11,13.6015,OK
book-atmospheric-hardcover-a4p,hpb,the-atmospheric-collection,a4p,100,2500,12.5,13,29.2875,13,16.2875,OK
book-atmospheric-softcover-a5p,spb,the-atmospheric-collection,a5p,90,1615,8.5,9,18.9197,9,9.9197,OK
book-atmospheric-softcover-a4p,spb,the-atmospheric-collection,a4p,90,1805,9.5,10,21.1456,10,11.1456,OK
book-halcyon-hardcover-83sq,hpb,the-halcyon-collection,83sq,100,2500,12.5,13,29.2875,13,16.2875,OK
book-halcyon-hardcover-a5l,hpb,the-halcyon-collection,a5l,100,1900,9.5,11,22.2585,11,11.2585,OK
book-halcyon-hardcover-a4l,hpb,the-halcyon-collection,a4l,100,2100,10.5,13,24.6015,13,11.6015,OK
book-halcyon-hardcover-a5p,hpb,the-halcyon-collection,a5p,100,2100,10.5,11,24.6015,11,13.6015,OK
book-halcyon-hardcover-a4p,hpb,the-halcyon-collection,a4p,100,2500,12.5,13,29.2875,13,16.2875,OK
book-halcyon-softcover-a5p,spb,the-halcyon-collection,a5p,90,1615,8.5,9,18.9197,9,9.9197,OK
book-halcyon-softcover-a4p,spb,the-halcyon-collection,a4p,90,1805,9.5,10,21.1456,10,11.1456,OK
book-mono-hardcover-83sq,hpb,monochrome-moods,83sq,100,2500,12.5,13,29.2875,13,16.2875,OK
book-mono-hardcover-a5l,hpb,monochrome-moods,a5l,100,1900,9.5,11,22.2585,11,11.2585,OK
book-mono-hardcover-a4l,hpb,monochrome-moods,a4l,100,2100,10.5,13,24.6015,13,11.6015,OK
book-mono-hardcover-a5p,hpb,monochrome-moods,a5p,100,2100,10.5,11,24.6015,11,13.6015,OK
book-mono-hardcover-a4p,hpb,monochrome-moods,a4p,100,2500,12.5,13,29.2875,13,16.2875,OK
book-mono-softcover-a5p,spb,monochrome-moods,a5p,90,1615,8.5,9,18.9197,9,9.9197,OK
book-mono-softcover-a4p,spb,monochrome-moods,a4p,90,1805,9.5,10,21.1456,10,11.1456,OK
