"File","Family","Format","BookFormat","PaperType","PhotoId","HeroType","HasGallery","GalleryCount","GalleryUrls"
"book-atmospheric-hardcover-83sq.mdx","hpb","book","hardcover","","null","r2_url","True","4","https://photos.studiotj.com/shop/mockups/_collection/the-atmospheric-collection/hardcoverBooksMohawk/hero.jpg|https://photos.studiotj.com/shop/mockups/_collection/the-atmospheric-collection/hardcoverBooksMohawk/mock1.jpg|https://photos.studiotj.com/shop/mockups/_collection/the-atmospheric-collection/hardcoverBooksMohawk/mock2.jpg|https://photos.studiotj.com/shop/details/hardcoverBooksMohawk/prodigi-hardcover-photo-book-hero.webp"
"book-atmospheric-hardcover-a4l.mdx","hpb","book","hardcover","","null","r2_url","True","4","https://photos.studiotj.com/shop/mockups/_collection/the-atmospheric-collection/hardcoverBooksMohawk/hero.jpg|https://photos.studiotj.com/shop/mockups/_collection/the-atmospheric-collection/hardcoverBooksMohawk/mock1.jpg|https://photos.studiotj.com/shop/mockups/_collection/the-atmospheric-collection/hardcoverBooksMohawk/mock2.jpg|https://photos.studiotj.com/shop/details/hardcoverBooksMohawk/prodigi-hardcover-photo-book-hero.webp"
"book-atmospheric-hardcover-a4p.mdx","hpb","book","hardcover","","null","r2_url","True","4","https://photos.studiotj.com/shop/mockups/_collection/the-atmospheric-collection/hardcoverBooksMohawk/hero.jpg|https://photos.studiotj.com/shop/mockups/_collection/the-atmospheric-collection/hardcoverBooksMohawk/mock1.jpg|https://photos.studiotj.com/shop/mockups/_collection/the-atmospheric-collection/hardcoverBooksMohawk/mock2.jpg|https://photos.studiotj.com/shop/details/hardcoverBooksMohawk/prodigi-hardcover-photo-book-hero.webp"
"book-atmospheric-hardcover-a5l.mdx","hpb","book","hardcover","","null","r2_url","True","4","https://photos.studiotj.com/shop/mockups/_collection/the-atmospheric-collection/hardcoverBooksMohawk/hero.jpg|https://photos.studiotj.com/shop/mockups/_collection/the-atmospheric-collection/hardcoverBooksMohawk/mock1.jpg|https://photos.studiotj.com/shop/mockups/_collection/the-atmospheric-collection/hardcoverBooksMohawk/mock2.jpg|https://photos.studiotj.com/shop/details/hardcoverBooksMohawk/prodigi-hardcover-photo-book-hero.webp"
"book-atmospheric-hardcover-a5p.mdx","hpb","book","hardcover","","null","r2_url","True","4","https://photos.studiotj.com/shop/mockups/_collection/the-atmospheric-collection/hardcoverBooksMohawk/hero.jpg|https://photos.studiotj.com/shop/mockups/_collection/the-atmospheric-collection/hardcoverBooksMohawk/mock1.jpg|https://photos.studiotj.com/shop/mockups/_collection/the-atmospheric-collection/hardcoverBooksMohawk/mock2.jpg|https://photos.studiotj.com/shop/details/hardcoverBooksMohawk/prodigi-hardcover-photo-book-hero.webp"
"book-atmospheric-softcover-a4p.mdx","spb","book","softcover","","null","r2_url","True","4","https://photos.studiotj.com/shop/mockups/_collection/the-atmospheric-collection/softcoverBooksMohawk/hero.jpg|https://photos.studiotj.com/shop/mockups/_collection/the-atmospheric-collection/softcoverBooksMohawk/mock1.jpg|https://photos.studiotj.com/shop/mockups/_collection/the-atmospheric-collection/softcoverBooksMohawk/mock2.jpg|https://photos.studiotj.com/shop/details/softcoverBooksMohawk/softcover-photo-book.webp"
"book-atmospheric-softcover-a5p.mdx","spb","book","softcover","","null","r2_url","True","4","https://photos.studiotj.com/shop/mockups/_collection/the-atmospheric-collection/softcoverBooksMohawk/hero.jpg|https://photos.studiotj.com/shop/mockups/_collection/the-atmospheric-collection/softcoverBooksMohawk/mock1.jpg|https://photos.studiotj.com/shop/mockups/_collection/the-atmospheric-collection/softcoverBooksMohawk/mock2.jpg|https://photos.studiotj.com/shop/details/softcoverBooksMohawk/softcover-photo-book.webp"
"book-halcyon-hardcover-83sq.mdx","hpb","book","hardcover","","null","r2_url","True","4","https://photos.studiotj.com/shop/mockups/_collection/the-halcyon-collection/hardcoverBooksMohawk/hero.jpg|https://photos.studiotj.com/shop/mockups/_collection/the-halcyon-collection/hardcoverBooksMohawk/mock1.jpg|https://photos.studiotj.com/shop/mockups/_collection/the-halcyon-collection/hardcoverBooksMohawk/mock2.jpg|https://photos.studiotj.com/shop/details/hardcoverBooksMohawk/prodigi-hardcover-photo-book-hero.webp"
"book-halcyon-hardcover-a4l.mdx","hpb","book","hardcover","","null","r2_url","True","4","https://photos.studiotj.com/shop/mockups/_collection/the-halcyon-collection/hardcoverBooksMohawk/hero.jpg|https://photos.studiotj.com/shop/mockups/_collection/the-halcyon-collection/hardcoverBooksMohawk/mock1.jpg|https://photos.studiotj.com/shop/mockups/_collection/the-halcyon-collection/hardcoverBooksMohawk/mock2.jpg|https://photos.studiotj.com/shop/details/hardcoverBooksMohawk/prodigi-hardcover-photo-book-hero.webp"
"book-halcyon-hardcover-a4p.mdx","hpb","book","hardcover","","null","r2_url","True","4","https://photos.studiotj.com/shop/mockups/_collection/the-halcyon-collection/hardcoverBooksMohawk/hero.jpg|https://photos.studiotj.com/shop/mockups/_collection/the-halcyon-collection/hardcoverBooksMohawk/mock1.jpg|https://photos.studiotj.com/shop/mockups/_collection/the-halcyon-collection/hardcoverBooksMohawk/mock2.jpg|https://photos.studiotj.com/shop/details/hardcoverBooksMohawk/prodigi-hardcover-photo-book-hero.webp"
